timestamp,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-02-27,135.33,142.9,134.71,137.68,4322990.459,1740700799999,599160525.54253,2490511,2243932.502,311081817.64793,0
2025-02-28,137.68,148.72,125.55,148.18,10039960.613,1740787199999,1368611824.73409,4567953,4871242.249,665270561.1119,0
2025-03-01,148.18,151.25,138.57,143.66,4151855.758,1740873599999,597723583.50179,1658774,2055795.957,295999647.47676,0
2025-03-02,143.66,179.85,140.04,178.71,13474639.846,1740959999999,2212052717.47645,6490443,7001626.196,1152127677.69705,0
2025-03-03,178.72,179.47,139.21,142.16,11096202.04,1741046399999,1748078985.39323,6131716,5308196.717,836507080.79658,0
2025-03-04,142.16,147.0,130.66,144.79,10389598.334,1741132799999,1438316454.58464,5773861,5126002.537,709968962.93432,0
2025-03-05,144.8,149.73,140.18,146.28,4895520.585,1741219199999,706791297.23729,2591656,2454315.091,354512506.82835,0
2025-03-06,146.27,152.9,142.44,143.31,4451879.661,1741305599999,656676724.6538,2442100,2245684.872,331135591.9592,0
2025-03-07,143.3,150.88,135.04,139.39,7267412.771,1741391999999,1039508735.19796,3717944,3454290.045,494418899.49329,0
2025-03-08,139.39,141.09,135.29,137.01,2135751.393,1741478399999,295310260.9805,1318277,1085800.033,150212154.78823,0
2025-03-09,137.01,139.88,125.41,126.51,3909495.652,1741564799999,514516598.4873,1984143,1799825.273,236950914.51538,0
2025-03-10,126.52,131.57,115.47,118.32,6654109.331,1741651199999,820279149.5914,3232219,3170426.368,390933977.05257,0
2025-03-11,118.32,128.43,112.0,125.35,6435277.863,1741737599999,783022212.27215,2896453,3219262.842,391732745.73227,0
2025-03-12,125.35,131.33,121.22,126.62,4410502.14,1741823999999,552333767.76339,2166421,2114378.494,264814655.73233,0
2025-03-13,126.61,128.76,120.76,123.37,2824584.961,1741910399999,352338027.09973,1491066,1362852.114,170093714.44517,0
2025-03-14,123.36,136.03,122.98,133.54,3607725.492,1741996799999,468530950.60997,1784051,1897742.494,246273544.7854,0
2025-03-15,133.53,136.53,132.44,135.86,1918077.49,1742083199999,257628407.34355,976083,1032004.709,138565058.85689,0
2025-03-16,135.86,136.71,134.13,135.46,243148.729,1742169599999,32945328.44335,194113,124731.12,16907683.11884,0
